File 	 Total number of insects 	 Average area 	 Smaller than 4mm 	 Between 4 and 10mm 	 Larger than 10mm 
IMG_1552.JPG 	 231 	 4 	 184 	 47 	 0
IMG_1553.JPG 	 280 	 3 	 213 	 65 	 2
IMG_1554.JPG 	 344 	 3 	 278 	 66 	 0
IMG_1555.JPG 	 295 	 4 	 237 	 56 	 2
IMG_1556.JPG 	 216 	 4 	 172 	 43 	 1
IMG_1557.JPG 	 205 	 5 	 153 	 52 	 0
IMG_1558.JPG 	 273 	 3 	 219 	 54 	 0
IMG_1559.JPG 	 377 	 5 	 287 	 89 	 1
IMG_1560.JPG 	 420 	 5 	 331 	 84 	 5
IMG_1561.JPG 	 365 	 5 	 283 	 81 	 1
IMG_1562.JPG 	 317 	 4 	 252 	 64 	 1
IMG_1563.JPG 	 299 	 4 	 259 	 35 	 5
IMG_1564.JPG 	 442 	 4 	 343 	 98 	 1
IMG_1565.JPG 	 346 	 6 	 288 	 53 	 5
IMG_1566.JPG 	 325 	 6 	 281 	 40 	 4
IMG_1567.JPG 	 322 	 5 	 244 	 75 	 3
IMG_1568.JPG 	 318 	 6 	 244 	 70 	 4
IMG_1569.JPG 	 312 	 5 	 246 	 65 	 1
IMG_1570.JPG 	 347 	 6 	 258 	 84 	 5
IMG_1571.JPG 	 290 	 6 	 221 	 68 	 1
IMG_1572.JPG 	 407 	 6 	 307 	 97 	 3
IMG_1573.JPG 	 404 	 5 	 329 	 70 	 5
IMG_1574.JPG 	 431 	 4 	 359 	 67 	 5
IMG_1576.JPG 	 215 	 7 	 179 	 34 	 2
IMG_1577.JPG 	 324 	 7 	 264 	 59 	 1
IMG_1578.JPG 	 309 	 8 	 249 	 53 	 7
IMG_1579.JPG 	 240 	 9 	 190 	 47 	 3
IMG_1580.JPG 	 282 	 8 	 229 	 50 	 3
IMG_1581.JPG 	 264 	 9 	 194 	 65 	 5
IMG_1582.JPG 	 272 	 9 	 204 	 65 	 3
IMG_1583.JPG 	 217 	 6 	 167 	 47 	 3
IMG_1584.JPG 	 360 	 7 	 252 	 102 	 6
IMG_1585.JPG 	 242 	 7 	 191 	 47 	 4
IMG_1586.JPG 	 386 	 8 	 274 	 108 	 4
IMG_1587.JPG 	 380 	 8 	 268 	 105 	 7
IMG_1588.JPG 	 503 	 7 	 357 	 143 	 3
IMG_1589.JPG 	 528 	 5 	 398 	 122 	 8
IMG_1590.JPG 	 360 	 7 	 248 	 104 	 8
IMG_1591.JPG 	 422 	 7 	 315 	 100 	 7
IMG_1592.JPG 	 472 	 7 	 345 	 120 	 7
IMG_1593.JPG 	 386 	 9 	 287 	 90 	 9
IMG_1594.JPG 	 498 	 6 	 373 	 119 	 6
IMG_1595.JPG 	 212 	 8 	 155 	 52 	 5
IMG_1596.JPG 	 174 	 7 	 139 	 31 	 4
IMG_1597.JPG 	 195 	 8 	 160 	 32 	 3
IMG_1598.JPG 	 193 	 8 	 155 	 32 	 6
IMG_1599.JPG 	 217 	 9 	 171 	 45 	 1
IMG_1601.JPG 	 209 	 7 	 162 	 43 	 4
IMG_1602.JPG 	 265 	 7 	 201 	 58 	 6
IMG_1603.JPG 	 255 	 6 	 217 	 34 	 4
IMG_1604.JPG 	 309 	 8 	 239 	 64 	 6
IMG_1605.JPG 	 404 	 12 	 299 	 89 	 16
IMG_1606.JPG 	 444 	 11 	 323 	 105 	 16
IMG_1607.JPG 	 380 	 11 	 251 	 103 	 26
IMG_1608.JPG 	 318 	 12 	 217 	 87 	 14
IMG_1609.JPG 	 335 	 11 	 246 	 77 	 12
IMG_1610.JPG 	 342 	 11 	 234 	 93 	 15
IMG_1611.JPG 	 381 	 12 	 270 	 94 	 17
IMG_1612.JPG 	 341 	 13 	 239 	 81 	 21
